id;start_date;end_date;language
1;2020-10-28T18:15:02;2020-10-28T16:05:17;SPANISH
2;2020-10-27T23:05:13;2020-10-28T18:09:38;SPANISH
3;2020-10-28T14:00:32;2020-10-28T00:34:41;FRENCH
4;2020-10-28T05:18:03;2020-10-28T16:49:29;FRENCH
5;2020-10-28T14:48:21;2020-10-28T19:35:20;FRENCH
6;2020-10-28T08:40:42;2020-10-28T20:48:56;FRENCH
7;2020-10-28T10:26:02;2020-10-28T04:16:53;FRENCH
8;2020-10-28T09:22:15;2020-10-28T19:38:23;SPANISH
9;2020-10-28T08:03:24;2020-10-28T04:44:47;SPANISH
10;2020-10-28T16:15:28;2020-10-28T02:49:58;SPANISH
